batch_num,src_lang,tgt_lang
1,Bann Grek finn touletan konsider sa lepok‐la kouma laz‐dor lang grek,"

The Greeks have always considered that period as the golden age of the Greek language."
1,"Me ver lafin lanpir grek, bann lotorite finn konsidere ki nivo zot lang ti pe koumans ‘dekline’ ek perdi so val er par pratik bann zenn zenerasion ek par ‘kontaminasion’ ek bann lezot lang","

""However, with the decline in the use of the Greek language, authorities considered that the level of their language was beginning to decline and lose its value by the practice of the following generations and by the contamination with other languages."""
1,Li ti vinn neseser dekrir ek ekrir bann reg ki ti pou permet bann zenn zenerasion kone kouma bizin bien koze ek ekrir kan zot servi lang grek,"

It became necessary to describe and write rules that would allow future generations to know how to speak and write correctly when using the Greek language."
1,Se bann ansien text ki ti ekrir lepok klasik ki ti servi kou ma enn referans pou deskripsion langaz‐la ek fourni bann reg pou kone kouma pou itiliz li dan enn fason korek,"

Old texts written during classical times served as a reference for the description of the language and provided rules for knowing how to use it correctly."
1,"Term “grammaire” finn fer so aparision an Franse depi e siek kot li finn koumans pran diferan sinifikasion, an fonksion lepok, sistem panse, ouswa teori lingwistik ki dimounn swazir pou adopte","

""The term 'grammar' made its appearance in French since the sixteenth century when it began to take on different meanings, depending on the era, the mode of thought, or the linguistic theories that people chose to adopt."""
1,"Apartir sa moman‐la, sinifikasion « grammaire » ti nepli limit li ek lir ek ekrir me ti konsern ousi laparol","

""From that moment, the meaning of 'grammar' was no longer limited to reading and writing, but also concerned speech."""
2,"Pou Arnauld ek Lancelot, bann loter La Grammaire de Port Royale ( ), gramer ti vinn sinonim ek “l’art de parler ”",""" For Arnauld and Lancelot, the authors of the book La Grammaire de Port Royale ( ), grammar became synonymous with “the art of speaking”"""
2,"En , Dictionnaire de l’Académie definir gramer kouma “l’Art de parler et d’écrire correctement ”","""In , the Dictionnaire de l’Académie defined grammar as “the Art of speaking and writing correctly”"""
2,Sa definision ‐la finn repran par boukou diksioner depi sa lepok‐la,This definition has been taken up by many dictionaries since that time
2,"Diksioner Littré, par exanp, dir nou ki gramer, se “l'art d’exprimer ses pensées par la pa role ou par l’écriture d’une manière conforme aux règles établies par le bon usage ” alor ki Le Grand Robert dir nou ki sa mo‐la vedir “[l’]ensemble de[s] règles à suivre pour parler et écrire correctement une langue ”","""For example, Littré's dictionary tells us that grammar is “the art of expressing thoughts through speech or writing in a manner conforming to the rules established by good usage"" whereas Le Grand Robert tells us that it means ""[the] set of rules to follow in order to speak and write a language correctly"""
2,"An zeneral, se sa lapros‐la ki finn transmet depi enn zenerasion ziska enn lot dan lekol, e se ousi sa lapros‐la ki finn debous lor seki finn apel plitar “grammaire traditionnelle” (‘gramer tradisionel’ an Kreol)","""In general, it is this approach that has been passed down from one generation to another in schools, and it is also this approach that has been criticized for what is called the ""traditional grammar"" (‘gramer tradisionel’ in Creole)"""
2,"Gramer tradisionel Kan koz gramer tradisionel, an zeneral, pe fer referans ek enn tip gramer ki ena trwa karakteristik prinsipal","""Traditional Grammar When talking about traditional grammar, in general, reference is made to a type of grammar with three main characteristics"""
2,"(i) Li enn gramer normatif Par ‘normatif’ nou rod dir ki Gramer tradisionel fer enn distinksion ant bann bon fason pou ekrir ek koz enn lang, ek bann fason ki pa korek","""(i) It is a normative grammar By ‘normative’ we mean that Traditional Grammar makes a distinction between correct and incorrect ways of writing and speaking a language"""
2,"Li inpoz bann reg san ki li pran an kont evolision langaz, diversite bann pratik ek varyasion so itilizasion dan lavi reel","It imposes rules without taking into account the evolution of language, the diversity of practices, and variations in its use in real life"""
2,"Lekol, se landrwa privilizie kot aprann gr amer normatif avek soutien bann liv ek bann text referans","""School is the privileged place where normative grammar is taught with the support of books and reference texts"""
2,"(ii) Li akord plis linportans lekritir ki laparol Gramer tradisionel pran lekritir, e non laparol, kouma baz referans pou dekrir bann reg enn lang","""(ii) It gives more importance to writing than to speaking Traditional Grammar focuses on writing, not speaking, as the basis for describing the rules of a language"""
4,Gramer modern Dabor nou bizin koumans par presize ki expresion ‘gramer modern’ pa fer referans ar enn sel gramer me plizier,Modern Grammar
4,Nou apel zot ‘modern’ parski zot finn aparet apre gramer tradisionel e finn definir laplipar parmi zot an konparezon ek gramer tradisionel,We call them 'modern' because they have appeared after traditional grammar and have defined themselves mostly by comparison with traditional grammar
4,"Parmi bann gramer ki rant dan kategori gramer modern, nou ena: (i) Bann gramer striktiral Nou apel ‘gramer striktiral’ tou bann gramer ki inspire par lingwistik striktiral","""Among the grammars that fall into the category of modern grammar, we have: (i) Structural grammars We also call 'structural grammar' all grammars inspired by structural linguistics"""
4,"Dan sa kategori‐la nou retrouv sirtou de gran tandans: ( ) gramer distribisionel (Bloomfield, Harris, Hocket); ( ) gramer zeneratif ek transformasionel (Chomsky) ki enn prolonzman gramer distribisionel","""In this category, we find especially two major trends: ( ) distributive grammar (Bloomfield, Harris, Hocket); ( ) generative and transformational grammar (Chomsky) as an extension of distributive grammar"""
4,"Ena ousi bann lezot term ki servi pou dezign sa bann gramer‐la: gra mer formel; gramer sintagmatik; gramer sintaxik, etc","""There are also other terms used to designate these grammars: formal grammar; syntagmatic grammar; syntactic grammar, etc"""
4,"Pwin komin ki ena ek tou sa bann gramer‐la, seki zot etidie gramer apartir form ek striktir bann fraz ki prodir dan lang ki zot pe dekrir e zot analiz bann mo apartir plas ek rol ki zot ena dan bann fraz‐la (get detay pli lwin, sapit","""A common point for all these grammars is that they study grammar from the form and structure of sentences produced in the language they are describing and analyze words based on the place and role they have in these sentences"""
4,"(ii) Bann gramer laparol Bann gramer laparol interes zot sirtou ek kominikasion: zot met an evidans bann akt ki bann dimounn (rod) akonplir kan zot adres zot ek enn ou lezot dimounn: salitasion, remersiman, rod linformasion, donn linformasion, siplikasion, komandman, intimidasion, etc","""(ii) Oral grammars Oral grammars are mainly interested in communication: they highlight the actions that individuals perform when they address one another: greetings, thanks, seeking information, giving information, explanations, commands, intimidations, etc"""
4,"Pou sakenn sa bann akt‐la, ena bann kategori sintaxik ouswa stilistik ki pou korespo nn e ki bann lokiter enn lang bizin kone ek metrize pou zot kapav kominike","""For each of these actions, there are syntactic or stylistic categories that need to correspond to and that individuals need to know and master in order to communicate"""
4,Bann gramer laparol interes zot ek idantifikasion ek analiz sa bann kategori‐la,Oral grammars are interested in identifying and analyzing these categories
4,"Parmi bann gramer ki rant dan fami gramer laparol, nou retrouv: gramer lenonsiasion, gramer diskour, gramer akt langaz","""Among the grammars falling into the family of oral grammar, we find: sentence grammar, discourse grammar, language act grammar"""
5,"(iii) Gramer text Gramer text, li enn prolonzman alafwa gramer striktiral (ki interes li ek letid bann fraz) ek gramer laparol (ki interes li ek letid bann enonse dan sitiasion kominikasion kot zot finn prodir)","""(iii) Grammar text Grammar text, it is a combination of strictural grammar (which is concerned with the structure and study of sentences) and functional grammar (which is concerned with the analysis of utterances in communication situations where they are produced)"""
5,Li met an evidans bann kriter ek striktir ki determinn koerans enn text,"
It highlights the criteria and structures that determine the coherence of a text"
5,Term itilize an lingwistik enonsiasion pou dezign enn mesaz oral ou ekri ki finn prodir dan enn sitiasion kominikasion,"
Terms used in linguistic enunciation to design an oral or written message that has been produced in a communication situation"
5,"Gramer modern an konparezon ek gramer tradisionel Pou revinn an detay lor bann premie gramer ki finn pran zot distans ek gramer tradisionel, anou get ansam ki bann karakteristik ki diferansie zot","
""Modern grammar in comparison with traditional grammar To delve into the first grammars that have taken their distance from and traditional grammar, let's look at together the characteristics that differentiate them"""
5,"Karakteristik gramer striktiral: (i) Zot plis deskriptif ki normatif Alor ki gramer tradisionel, li normatif (get pli lao), bann gramer modern, inspire par bann demars obzektivite ek siantifisite ki lingwistik modern finn met an avan, finn adopte enn demars ki align li plis lor deskripsion bann pratik reel bann itilizater enn lang pou dekrir so gramer plito ki pratik ki inpoze par bann teorisien","
""Characteristics of structural grammar: (i) They are more descriptive than normative While traditional grammar is normative (or more prescriptive), modern grammars, inspired by approaches of objectivity and scientificity that modern linguistics have put forward, have adopted an approach that aligns more with describing the real practices of language users to describe its grammar rather than practices imposed by theorists"""
5,Zot pa kon sidere ki ena bann pratik ki siperyer par rapor ar bann lezot pratik,"
They do not consider that there are practices superior to others"
5,Zot zis konstate ki ena diferan pratik langaz dan sosiete e zot dekrir sa bann diferan pratik‐la an relasion ar sitiasion ek kontext kot servi zot,"
They simply note that there are different language practices in society and they describe these different practices in relation to the situation and context they are used in"
5,Se pou sa rezon‐la ousi ki oral pran souvan plis linportans ki lekritir da n bann gramer modern,"
For this reason, oral communication often takes on more importance than written communication in modern grammars"
5,"(ii) Zot akord plis linportans laparol ki lekritir Etan done ki dan ninport ki lang natirel, volim prodikion langaz li infiniman pli elve onivo oral ki onivo lekritir (sof pou bann lang ki finn deza mor, me ki dimounn ankor pe etidie pou diferan rezon) gramer modern baz so bann analiz boukou plis lor bann pratik oral plito ki ba nn pratik lekritir","
""(ii) They give more importance to oral than written communication Given that in any natural language, the volume of language production is infinitely higher at the oral level than at the written level (except for languages that are already dead, but which are still being studied for various reasons) modern grammar bases its analyses much more on oral practices than on written practices"""
5,"Sa karakteristik ‐la, li ankor pli vre dan ka bann lang kreol, ki bann lang modern e ki finn fonksionn sirtou kouma bann lang oral ziska ler","
""This characteristic is even truer for creole languages, modern languages that have primarily functioned as oral languages up until now"""
7,"Me, dan ka bann lang kreol, e pli spesifiKreol Morisyenan lang Kreol Morisyen, morfolozi li ena kanmem enn gran linportans kan nou etidie bann prosede formasion ek kreasion bann mo, seki sinta x, dan so kote, pa permet fer","""In the case of creole languages, and more specifically Mauritian Creole language, morphology has great importance when studying the formation processes and creation of words, such as x, in its place, do not allow making"""
7,"Apre tou seki nou finn trouve, nou panse ki ena plizier fason pou definir gramer, depandan dan ki kontext nou ete, e lor ki laspe nou pe anvi met plis linportans","""After all that we have found, we think that there are several ways to define grammar, depending on the context we are in, and at the moment when we want to give more importance"""
7,Rezime lor definision gramer:,Summary on the definition of grammar:
7,"Dan enn demars operatwar rapid, li posib definir gramer kouma: Letid siantifik bann striktir enn lang","""In a rapid operational approach, it is possible to define grammar as: The scientific study of the strictures of a language"""
7,Me ena ousi lezot definision ki bon retenir dan kad lexersis ki nou pe fer isi:,But there are also other definitions worth noting in the exercises we are doing here:
7,"Enn gramer fer referans lansanb bann reg ki permet konbinn bann inite lingwistik ki ena dan enn lang, e ki permet zo t fer bann fraz ki dimounn servi kan zot exprim zot atraver bann enonse","""A grammar serves as a reference to the set of rules that allow combining the linguistic units present in a language, and that enable the construction of sentences that people use when expressing themselves"""
7,"Tou bann lang ena enn gramer, sinon dimounn pa ti pou kapav servi zot pou koze","""All languages ​​have a grammar, otherwise people would not be able to use them to communicate"""
7,"Gramer vedir ousi enn deskripsion, enn fason pou reper bann striktir lang‐la dapre enn (b ann) teori spesifik ek propoz enn fason pou analiz striktir‐la ek so fonskionnman dapre sa (bann) teori‐la","""Grammar also means a description, a way to identify the strictures of a language according to a specific theory and propose a way to analyze its structure and functioning according to that theory"""
7,"Ena fason tradisionel pou analiz gramer enn lang, ena metod striktiral, ki pli modern","""There is a traditional way to analyze the grammar of a language, a structural method, and a more modern one"""
7,"Me ena ousi lezot lapros kouma gramer laparol (parmi, gramer lenonsiasion), gramer text, etc","""But there are also other approaches such as oral grammar (including sentence grammar), textual grammar, etc"""
8,Bann gramer modern ena tandans etidie ba nn lang dan bann fason pli deskriptif ek obzektif alor ki gramer tradisionel ena tandans pou pli preskriptif ek normatif,"Modern grammar tends to study languages in a more descriptive and objective manner, while traditional grammar tends to be more prescriptive and normative."
8,"Dan kad lekol, kot kapav ansegn bann zelev gramer enn sel lang, ouswa plizier lang anmemtan, lapros normatif ek preskriptif ena tandans prime","""In the school context, where students can learn grammar of one or more languages at the same time, normative and prescriptive approaches tend to prevail."""
8,"Nosion fot gramer itilize dan sa ka‐la, swa parski analiz enn fraz finn mal fer, swa parski fraz‐la finn ekrir (ou finn dir) dan enn fason ki pa an‐akor ek bann reg lang‐la","""The notion of grammar mistakes are used in this case either because the analysis of a sentence has been poorly done, or because the sentence was written (or spoken) in a way that is not in accordance with the rules of the language."""
8,"Dan kad lekol touzour, nou souvan konsevwar enn gramer dan form enn maniel kot finn ekrir ek dekrir bann reg (deskrptif ou preskriptif) enn lang avek bann exersis pou zelev pratike","""In the school setting, we often keep a grammar in the form of a manual where the rules (descriptive or prescriptive) of a language are written and described, with exercises for students to practice."""
8,"BANN LETID LOR STRIKTIR KREOL MORISIEN Bann letid lingwistik lor Kreol Morisyen finn fer selon bann perspektiv lingwistik varye: fonetik, lexikolozik, sintaxik, sosiolingwistik, etc","""LINGUISTIC STUDIES ON MAURITIAN CREOLE Linguistic studies on Mauritian Creole have been conducted from various linguistic perspectives: phonetic, lexical, syntactic, sociolinguistic, etc."""
8,"Zot reprezant enn poursantaz bien for par rapor ek totalite letid ki finn fer lor bann lang Moris: plis ki % en (Police), alor ki bann letid lor sitiasion miltileng ek lor Franse ki ariv an em pozision, reprezant sakenn % (touzour selon letid mem lepok)","""They represent a strong percentage compared to the total studies done on Mauritian languages: over 50% in (Creole), while studies on multilingual situations and on French, which are also influential, represent each a percentage (according to studies of the same period)."""
8,"Bann lanaliz lor striktir Kreol Morisyen remont ziska , dat piblikasion Étude sur le patois créole de Maurice par Baissac","""Analyses on the structure of Mauritian Creole go back to , the publication of Étude sur le patois créole de Maurice by Baissac."""
8,"Biensir li adopte enn lapros tradisionel selon lideolozi kolonial sa lepok‐la: li pa konsider Kreol kouma enn lang e seki finn motiv so letid, se ofer enn divertisman komin ote siantifik internasional","""Of course, it adopted a traditional approach in line with colonial ideology of the time: it did not consider Creole as a language and the motivation behind its studies was to provide entertainment rather than international scientific insight."""
8,"Toutfwa, piblikasion Baissac res enn referans an rezon lintere ki li reprezante pou analiz striktir Kreol Morisyen kouma li ti ete e siek","""However, Baissac's publication remains a reference for the interest it represents in analyzing the structure of Mauritian Creole as it was then."""
8,"Enn repertwar diakronik montre ki bann letid lor Kreol Morisyen antan ki enn lang dan so plin drwa, komanse avek devlopman lingwistik modern ki demare avek piblikasion an , Cours de linguistique générale","""A diachronic repertoire shows that studies on Mauritian Creole as a full-fledged language began with the modern linguistic development that started with the publication of , Course in General Linguistics."""
9,Sa piblikasion ‐la fer par de etidian apartir kour zot profeser ki finn desede an : Ferdinand de Saussure,This publication is made up of two studies from their professor's course which has passed away: Ferdinand de Saussure
9,"Par so bann kou r iniversiter, Saussure inn amenn bann sanzman desizif dan perspektiv analiz ek definision enn lang","""Through his university courses, Saussure brought decisive innovations into the field of analysis and definition of a language."""
9,"An efe, par so travay, Saussure finn valoriz enn perspektiv sinkronik alor ki, avan li, bann filolog (bann dimounn ki etidie enn lang apartir bann text ansien) ti pe donn priyorite dan zot lanaliz, evolision ek zenealozi ba nn lang","""In fact, through his work, Saussure has valorized a synchronic perspective while, before him, philologists (people who study a language from ancient texts) were giving priority in their analysis, evolution, and genealogy to a language."""
9,"Perspektiv ki Saussure finn adopte finn permet li, prinsipalman, met an evidans ki miltiplisite varyasion ki kapav ena dan pratik enn lang par enn kominote imin, sa bann varyasion ‐la repoz lor enn nonb limite bann sign lingwistik","""The perspective that Saussure adopted has allowed him, mainly, to highlight that the multiple variations that can exist in a language within a human community, these variations are based on a limited number of linguistic signs."""
9,"Sa bann sign‐la fer parti enn rezo relasion ki organiz zot sou form enn striktir, enn sistem","""These signs are part of a relational network that organizes them in a strict form, a system."""
9,"Se kou msa ki Saussure definir enn lang kouma enn sistem sign e ki li finn donn nesans, par so travay, lingwistik striktiral","""It is through this that Saussure defines a language as a sign system and that, through his work, he has given birth to structural linguistics."""
9,"Bann lingwist inpe partou dan lemond pou koumans montre enn lintere pou bann lang kreol apartir , prinsipalman akoz sertin pwin komin ki sa bann lang‐la prezante onivo zot striktir e lokazion exsepsionel ki ena pou fer bann letid lor kontext zot nesans: ki landrwa ek ki lepok zot finn pran nesans, kisan n‐la ti prezan","""Linguists are showing an interest in Creole languages almost everywhere in the world, mainly because of certain common points that these languages present at the level of their structure and exceptional location that makes them interesting for contextual analysis of their origin: where and when they were born, who was present."""
9,"Zot finn trouve ki bann pwin komin onivo striktir bann lang kreol explike par bann pwin komin ant bann kontext kot zot finn pran nesans: bann lang kreol finn ne an zeneral lor bann lil (sof dan ka Louisianne, Guinée Bissau ek Guyanne), dan bann sosiete es klavazis kot ena bann plantasion (kann, kafe ou koton)","""They found that the common points at the structural level of Creole languages are explained by the common points between the contexts where they originated: Creole languages are generally born on islands (except in cases like Louisiana, Guinea-Bissau, and Guyana), in societies where there are plantations (sugarcane, coffee, or cotton)."""
9,"Alor ki bann premie kestion pou poze lor natir lingwistik bann lang kreol (eski ena enn sel Kreol? eski se bann lang, bann pidgin, bann dialekt ouswa bann patwa?) , ena trwa teori prinsipal ki pou emerze apre sa bann premie klarifikasion ‐la","""While the first question to be posed about the nature of linguistic Creole languages (are there a single Creole? are they languages, pidgins, dialects, or patois?) , three main theories will emerge after this first clarification."""
9,"Li inportan ki nou kone ki, parmi sa trwa teori prinsipal‐la, de finn fonde prinsipalman apartir lexanp bann lang kreol dan Losean Indien (Renione, Morisien ek Seselwa): a) Enn premie teori tourne ver linflians bann lang Lerop lor kon striksion bann kreol (bann lingwist apel li “eurocentriste”)","""It is important for us to know that, among these three main theories, two are mainly based on the example of Creole languages in the Indian Ocean (Reunion, Mauritian, and Seychellois): a) The first theory looks at the influence of European languages on the structure of Creoles (linguists call it 'eurocentric')."""
10,"Chaudenson ( , , ) reprezant pli bien sa kouran‐la","""Chaudenson ( , , ) represents this current the best."""
10,"Pou li, bann kreol finn forme atraver enn ‘move akizision’ franse (so prop term: “une approximation d’une approximation ”)","""For him, Creoles have been formed through a 'bad French acquisition' (his own term: 'an approximation of an approximation ')"""
10,"Ena de letap dan so teori ki explik sa: premie seki li ap el enn “société d’habitation ” kot bann esklav ek zot met ti pe viv ansam dan mem rezidans, ek deziem, “société plantation ” kan bann esklav pou vinn par gran‐gran kantite, e zot pou viv dan bann kan kot zot pa pou gagn kontak direk ek zot bann met","""There are two stages in his theory that explain this: the first is that he is describing a 'society of dwelling' where slaves and their masters were living together in the same residence, and the second, a 'plantation society ' where slaves will come in large quantities, and they will live in areas where they will not have direct contact with their masters."""
10,Li interesan note ki Chaudenson devlop so teori apartir so bann analiz Renione ek Kreol Morisien prinsipalman,It is interesting to note that Chaudenson developed his theory based on his analysis of Reunionese and Mauritian Creole primarily.
10,b) Enn deziem teori tourne ver linflians ki bann lang bann esklav (prinsipalman afriken) fin n ena lor konstriksion bann kreol (bann lingwist apel sa teori‐la “afrocentriste”),"b) A second theory focuses on the influence of the languages of the slaves (mainly African) in the construction of Creoles (linguists call this theory ""Afrocentrist"")."
10,"Isi nou pou kapav prezant Manessy ( ) ek Baker ( , , ) ki panse bann kreol finn forme apartir bann lang afriken ouswa akoz bann rezon demografik ki konsern prinsipalman bann Hall ( ), Hymes ( ), Ferguson & DeBose ( ), Valdman ( ), Chaudenson ( , , )","""Here we can present Manessy ( ) and Baker ( , , ) who believe that Creoles have formed from African languages or due to demographic reasons mainly concerning Hall ( ), Hymes ( ), Ferguson & DeBose ( ), Valdman ( ), Chaudenson ( , , )"""
10,esklav,slaves
10,Baker li ousi devlop so teori apartir lexanp Kreol Morisien,Baker also developed his theory based on the example of Mauritian Creole
10,"Trwaziem teori, li inflianse prinsipalman par bann travay Chomsky ki panse ki ninport ki dimounn ena dan so servo tou seki li bizin pou kominike kan li ne","A third theory, influenced mainly by the works of Chomsky, states that anyone has in their brain what they need to communicate when they are born."""
10,"Nou konn so teori par nom ‘gramer iniversel’ e Bickerton ( , , ) pou repran sa bann lide‐la da n so teori bio‐program pou explik devlopman bann lang kreol (bann lingwist apel sa teori‐la “innéiste”)","""We know his theory as the 'universal grammar' and Bickerton ( , , ) to represent these ideas in his bio-program theory to explain the development of Creole languages (linguists call this theory ""innatist"")"""
12,"Piblikasion Alexander an , A creole manual , plito enn ti liv pedagozik destine a bann tourist ek travayer etranze ki vinn Moris","""Publication Alexander's, A Creole Manual, is essentially a small educational book aimed at tourists and foreign workers who come to Mauritius"""
12,"travay‐la isi, se seki finn motiv li e ki so loter souligne dan so lintrodiksion: ‘I was told more than once while living in Mauritius that ‘Creole does not have a grammar’","""The work here is what motivated him and which his preface emphasizes: ‘I was told more than once while living in Mauritius that ‘Creole does not have a grammar’"""
12,"To any linguist this is patently untrue, but to anyone who doubts this, I offer this booklet as written p roof! ’ Rekonesans Kreol Morisien antan ki enn lang ki ena enn striktir pou limite onivo bann spesialist ziska ki an , kot Dev Virahsawmy, par so bann lartik ki pibliye dan plizier edision zournal L’Express, pou vinn afirm devan popilasion Moris ki Kreol Morisyen enn lang e ki bizin fer li gagn enn stati la ng nasional","""To any linguist this is patently untrue, but to anyone who doubts this, I offer this booklet as written proof! The recognition of Mauritian Creole as a language with a structure went so far as Dev Virahsawmy, through his articles published in multiple editions of the newspaper L’Express, to affirm in front of the Mauritian population that Mauritian Creole is a language and should be given national status"""
12,"Malgre verite siantifik ki zot ti pe transmet, sa bann lartik‐la pou soulev enn polemik dan sosiete Moris, nouri par kontext politik kot deba lor re‐valorizasion lang kreol pou koumans devlope","""Despite the scientific truth they were transmitting, these articles were to spark a debate in Mauritian society, fueled by a political context where discussions on the revaluation of Creole language began to develop"""
12,"Kreol pa enn lang, Li pena lortograf, li pena gramer, li pena diksioner’ rezim bann re zistans bien for ki bann promoter lang kreol finn ena sanses pou afronte ziska ler","""Creole isn't a language, it has no spelling, it has no grammar, it has no dictionary’ - these are the very strong resistance regimes that Creole language promoters had chances to face until now"""
12,"Kapav dir ki sa for rezistans‐ la, zot parmi bann fakter ki finn rann bann letid lingwistik lor Kreol Morisyen dinamik","""It could be said that this strong resistance, among other factors, has made the linguistic studies on Mauritian Creole dynamic"""
12,"Apartir , bann deba nasional lor kestion promosion lang kreol, preske obliz bann lingwist demontre siantifiKreol Morisyenan ki Kreol enn lang","""Starting from national debates on the promotion of Creole language, almost all linguists have scientifically demonstrated that Mauritian Creole is a language"""
12,"Bann letid siantifik pou devlope lor tou plan: lor plan fon etik ek sintaxik pou demontre ki Kreol Morisyen ena enn striktir, enn ‘gramer’; lor plan lexikolozik pou pibliye bann lexik ek diksioner; lor plan sosiolingwistik pou demontre ki Kreol Morisyen koze par gran mazorite bann Morisien e ki donk, li enn lang nasion al","""Scientific studies need to be developed on all levels: on an ethical and syntactic level to demonstrate that Mauritian Creole has a structure, a 'grammar'; on a lexicological level to publish lexicons and dictionaries; on a sociolinguistic level to demonstrate that Mauritian Creole is spoken by the vast majority of Mauritians and is therefore a national language"""
12,"Bann letid lingwistik lor striktir Kreol Morisyen Nou pe prezant dan bann sapit ki pe swiv, bann letid ek piblikasion ki finn fer spesifiKreol Morisyenan lor striktir Kreol Morisyen e ki ase konsekan depi","""Linguistic studies on the structure of Mauritian Creole are being presented in the following chapters, in studies and publications that have specified Mauritian Creole's structure and are consequential since"""
12,"Nou pe limit nou prezantasion dan sa sapit‐la a bann tez, bann liv ek bann lartik siantifik","""We are limiting our presentation in this chapter to theses, books, and scientific articles"""
13,"Aktielman, nou kapav remark enn lintere partikilie bann lingwi st pou analiz fonksionnman ek striktir Kreol Morisyen","""Actually, we can observe a particular interest in analyzing the functioning and structure of Mauritian Creole linguistics"""
13,"Tradiksion: ‘Plis ki enn fwa, dimounn finn dir mwa kan mo ti pe res Moris, ki ‘Kreol pena gramer’","""Translation: 'More than once, people have told me when I was in Mauritius, that 'Creole has no grammar''"""
13,"Pou ninport ki lingwist, li evidan ki sa enn foste, me mo ofer sa livre‐la kouma enn prev, nwar lor blan a ninport ki dimounn ki ena kik dout","""For any linguist, it is evident that this is a mistake, but I present this book as a gift, open to anyone who has doubts"""
13,Bann tez Bann premie tez lor Kreol Morisyen sorti dan koumansman bann lane,The first theses on Mauritian Creole came out in the early years
13,Bibliografi Oceanic Linguistics Special Publications resans enn premie tez an lor varyasion kreol ek bhojpouri prezante par Domingue Liniversite Texas,Bibliography Oceanic Linguistics Special Publications recently published a first thesis on creole and bhojpuri variation presented by Domingue at the University of Texas
13,Se an ki gagn bann premie tez ki tret spesifiKreol Morisyenan striktir Kreol Morisyen,It is the first theses that specifically analyze Mauritian Creole structure
