batch_num,src_lang,tgt_lang
11,"Me sa rekonesans ‐la limite a bann siantifik esansielman; li finn konn, e ankor pe konn, boukou rezistans parmi bann non spesialist","""But this recognition is limited to essential scientific circles; it has known, and still faces resistance among non-specialists."""
11,"Bann premie letid ki rekonet Kreol Morisyen antan ki enn lang Dapre bibliografi komante Oceanic Linguistics Special Publications ( , ‐ ), bann premie piblikasion lor striktir Kreol Morisyen selon perspektiv lingwistik modern, remont ziska avek bann lartik Urruty pou gran piblik, ki paret dan Revue Guadeloupéenne (Dec","""The first studies that recognize Mauritian Creole as a language According to a bibliography starting from Oceanic Linguistics Special Publications ( , - ), the first publications on Mauritian Creole according to a modern linguistic perspective, dating back to the articles by Urruty for the general public, which appear in the Revue Guadeloupéenne (Dec"""
11,"Touzour selon mem bibliografi komante, pou bizin atann pou gagn bann premie letid pli spesialize lor striktir Kreol Morisyen kouma disertasion ‘M","""According to the same bibliography, we must wait to get more specialized studies on Mauritian Creole such as the dissertation 'M' deposited by Kiamtia, A study of the Creole patois of Mauritius, at the University of Wales."""
11,"’ depoze par Kiamtia, Une étude du patois créole de l’Ile Maurice , Liniversite Wales en","""Through his study, Kiamtia demonstrates that Mauritian Creole is a language different from French."""
11,"Par so letid, Kiamtia demontre ki Kreol Morisyen enn lan g diferan ar Franse","""Other publications report on brief descriptions made by the British for the benefit of foreigners visiting or working in Mauritius."""
11,"Lezot piblikasion resanse, se bann ti deskripsion ki de Britanik finn fer a lintansion bann etranze ki vinn vizit ouswa travay Moris","The article by Richardson appearing in the Journal of African Languages, carries out a comparative analysis of the characteristics of Mauritian Creole with those of French, Malagasy, and Bantu languages."""
16,"An , Ado ne pou pibliye enn version modifie so tez dan edision John Benjamins ki spesialize lor bann travo konsernan bann lang kreol : The Acquisition of Mauritian Creole","The text provided is quite lengthy, please let me know if you would like a summary or highlights of the translation."
23,"Pou sertin nom ki dezign bann metie par exanp: ‘direkter’ / ‘direktris’, ‘santer’ / ‘santez’, ‘kwizinie’ /","""For certain nouns that designate professions, for example: ‘director’ / ‘directress’, ‘teacher’, ‘cooks’ / 'cook', """
23,"kwizinier’ , cf","""there are also certain nouns that can be used as adjectives such as ‘crazy’, ‘thief’, ‘liar’ / 'liars'. """
23,"Arnaud) ; ena osi sertin nom ki kapav servi zot kom azektif kouma ‘fou’ / ‘fol’, ‘voler’ / ‘volez’, ‘manter’ / ‘mantez’",For example: (i) There is no grammatical gender distinction for words in Mauritian Creole
23,Par exanp : (i) Distinksion maskilin‐feminin (zanr gramatikal) pa existe pou bann mo,"""Here in Mauritian Creole, it behaves exactly like English, but, on the other hand, it is different from French"""
23,"Isi Kreol Morisyen konport li exakteman kouma Angle ; me, par kont, li diferan ek Franse","""While in French, my 'chair' is feminine ('une/la chaise') and 'fauteuil' is masculine ('un fauteuil'), in English, 'chair' ('a/the chair') and 'armchair' ('an/the armchair'), they are neither masculine nor feminine, same as 'seats' ('a seat') and 'easy chairs' ('an easy chair') in Creole"""
23,"Alor ki an Franse, mo «chaise» li fe minin (« une/la chaise ») ek « fauteuil » li maskilin (« un fauteuil »), an Angle, « chair » (« a/the chair ») ek « armchair » (« an/the armchair »), zot ni maskilin ni feminin, parey kouma ‘sez’ (‘enn sez’) ek ‘f otey’ (‘enn fotey’ ) ete an Kreol",(ii) There is also no distinction in number in the grammatical forms of words
23,(ii) Distinksion nonb ousi pa existe dan form gramatikal bann mo,"Singular and plural are spelled the same: one child, two children, a few children"
23,"Singilie ek pliryel ekrir parey: enn zanfan, de zanfan, enn bann zanfan",There is no 's' at the end of words
23,Na pena ‘s’ dan lafin bann mo,There is only one word that needs to be added sometimes to indicate plural
30,Li pe koz lor enn deplasman ki li ena pou fer an direksion landrwa kot so kolokiter reste (‘kot twa’),He is talking about a movement he has to make towards the place where his roommate stays ('where you are')
30,Li pe mazinn sa deplasman ‐la selon perspektiv kot li ek so kolokiter pou ete kan li pou,He is describing this movement according to the perspective where he and his roommate will be when he arrives: he does not use the verb 'go' but the verb 'come'.
30,finn arive: li pa itiliz verb ‘ale’ me verb ‘vini’,"""By 'so', he is locating his movement on the ground where he is uttering those words"""
30,"Par ‘dime’, li pe sitie so deplasman landemin zour kot li pe dir sa parol‐la","""At the same time, he is giving his movement a present value when he uses the present form instead of the future form for his verb; this is a clue that allows us to understand that Zak is conceptualizing his movement as an action that he is actually carrying out in any case (in his mind), more than as an intention"""
30,"Anmemtan li pe donn so deplasman enn valer prezan kan li itiliz form prezan olie form fitir pou so verb; sa, li enn laspe ki les kon pran ki Zak pe anvizaz so deplasman kouma enn aksion ki li pe realize de tout fason (dan so lespri), plis ki kouma enn lintansion",We find that what I use in these simple words gives us information about Zak's perspective
30,Nou trouve ki sak mo itilize dan sa sinp parol‐la donn nou enn linformasion lor perspektiv Zak,This is based on the interaction focused on the linguistic terms that a speaker uses in Mauritian Creole to refer to oneself or his (her) roommate
30,Sa sapit lor interlokision ‐la pou fokalize lor bann term lingwistik ki enn lokiter itilize an Kreol Morisyen pou fer refer ans ar limem ou so (bann) kolokiter,These terms reveal the role and identity that a speaker gives to himself and his (her) roommate
30,Sa bann term‐la revel rol ek idantite ki lokiter donn limem ek so (bann) kolokiter,They also reveal the relationship that is being established through speech between them
30,Zot revel osi relasion ki pe etablir par laparol ant zot,"""In Mauritian Creole, linguistic forms that refer to interlocutors take the forms of syntactic identities that are following: -personal pronouns -possessive determiners -proper nouns in cases where the speaker is designating himself or is addressing someone"""
38,Parfwa li pou enn sirfas ki ena de dimansion (Ex,"Sometimes it will be a surface with two dimensions (e.g., edge of a table) or a surface with only one dimension (e.g., edge of the sea), depending on the type of lobes it is experiencing."
38,: bor enn latab) ouswa enn sirfas ki ena zis enn sel dimansion (Ex,"The neighboring space (neighboring area or surroundings), it is around the place where a site is located."
38,": bor lamer), depandan form lobze ki li pe anfer me",The neighboring space extends to the border.
38,"‐ Lespas vwazin (vwazinaz ou lantouraz), li antour plas kot enn sit ete","For example, the surroundings of a house, it is its environment, its neighborhood, but it stops at the gate around the yard."
38,"Lespas vwazin, li al ziska frontier",- The exterior space is opposed to the interior space.
38,"Par exanp, vwazinaz enn lakaz, se so lanvironnman, so kartie, me li aret kot laport lantouraz ek miray ki antour lakour",We can say that it starts where there is a border and there is no limit.
38,"‐ Lespas exteryer , li opoze avek lespas interyer","We can consider that it extends to infinity in all directions, depending on the conception of this space (whether we consider it to be one or three dimensions)."
38,Nou kapav dir ki li koumanse kot ena enn frontier ek li pa ena limit,f) Complex sites Most of the expressions we use to describe space imply a relationship between a site and a unique setting.
41,"Dan so dimansion oral, par kont, li neseser ki enn lang kapav evolie da n letan, e aksepte fonks ionn ek diferan varyete anmemtan","In its oral dimension, however, it is necessary for a language to evolve over time, accepting influences and different varieties simultaneously.

Without a doubt, each variety appears more inferior than another.

""Each individual has their own function, value, and context in which they need to be utilized.""

It is the flexibility and adaptability of a language to change and accept modifications, its openness to enrich itself and new contributions from other languages, which determine its energy and dynamism.

It also conditions its use over time.

""For this reason, the standardization of Mauritian Creole has a link between Mauritian Creole speakers and a way to write it, but not a way to speak it, even though many may think that there are certain ways of pronouncing a word that are 'more Creole,' meaning more natural than others, and some are more 'artificial.'""

But here, we step into the subjective and ideological field, and there is nothing to be done about standardization in the sense of objectivity and technique, which is what we aim for in this context.

Differences between writing, spelling, and orthography: Writing, in a general sense, refers to a social practice where a people (an individual, a culture, a civilization, etc.) uses a graphic representation system to express itself, share information, communicate, or construct a reflection that articulates and argues, without needing to use its voice."
42,"• Grafi Etan done ki lekritir li pa enn fakilte, me enn pratik sosial ki depann lor enn aprantisaz, sistem reprezantasion grafik ki pep-la (dimounn-la, kiltir-la ou sivilizasion-la, etc","""Graphy Etymology suggests that writing is not a faculty, but a social practice that depends on an apprenticeship, a graphic representation system that the people (individuals, cultures or civilizations, etc) use to rely on conventions, i.e. the capacity for several individuals to sit together and agree on a system"""
42,") pou servi pou depann larzman lor bann k onvansion setadir, kapasite pou plizier dimoun n asiz ansam ek tom dakor lor enn sistem","""While a system has not been accepted by an authority, or has not gained the majority of people who make up the people (culture, civilization, etc.), or who write the language, each person or group of people will have their own system"""
42,"Tan ki enn sistem pa finn aksepte par enn lotorite , ouswa pa finn gagn lakor mazorite dimounn ki fer parti pep-la (kiltir-la, sivilizasion-la, et c","""We call this system a graph"""
42,"), ouswa ki ekrir lang-la, sak dimounn ou group dimoun n pou ena so prop sistem","Several graphs can coexist simultaneously for one language"""
42,Sa sistem-la nou apel li enn grafi,"""Spelling day when the majority of people (who write) agree to align themselves on a graph or when an authority decides to propose a graphic system as a reference, the graph becomes standard and we start to enter a stage where we can start discussing the spelling of the language"""
42,Plizier grafi kapav ko-abite anmemtan pou enn lang,"""A spelling is a correct way to write the words of a language, based on a graph that has become standard"""
42,"• Lortograf Zour ki mazorite dimounn (ki ekrir) aksepte pou align zot lor enn grafi ouswa ki enn lotorite desid pou propoz enn sistem gr afik kouma enn referans, grafi-la vinn standar e nou koumans rant dan enn letap kot kapav koumans koz lortograf lang- la","""It includes aspects concerning the grammar of the language (how words are broken down, for example), but sometimes also semantic criteria (words that sound the same but can be written differently just to differentiate their meanings)"""
42,"Enn lortograf se fason korek pou ekri r bann mo enn lang, lo r baz enn grafi ki finn vinn standar","""In order to accurately assess the impact that writing represents in the development and evolution of a language, let's take a quick look at the history of writing in a general way"""
60,"Bann komant er negatif ki ti finn exprime konsern otan problem klarte lor plan lektir , ki difikilte teknik dan kontext lekritir ( « œ » , li bon kone, li enn vwayel kot de let-la sipoze kol an sam e pa separe, seki reprezant enn konplikasion evidan lor plan teknik si klavie ki pe servi pa permet sa fonksion-la)","""Negative comments that have been expressed concerns about problems encountered in the clarity on the reading level, technical difficulties in the reading context (""œ"", well known, it is a vowel where the two letters are supposed to sound together and not separate, which represents an obvious complication on the technical level if the keyboard being used does not allow this function to work properly)"" 

""For this reason, we have preferred to maintain the ""œ"" in the final version of the dictionary, and we have chosen to respect the English and French graphic styles respectively""

""It is for this reason that the ""œ"" is not an option that the Mauritian Creole Technical Committee is recommending here""

""In its place, there are two options that we have selected""

""In the final position of some words, where the sound of ""r"" is weak, we suggested using ""er"", as in: leader, manager, sister (in the hospital), etc.""

""Even though -er is also used for simpler words like lamer, later, monper, etc.""

""In the initial position (or homile) three words where the ""r"" is felt, and where the vowel and tip are more rounded, we propose using ""u"", as in: rush, flush, brushing, etc.""

""It is for this reason that words like ""duster"" and ""burger"", have all two options, which respect their original language and allow them to be considered as anchors, on the argument that their pronunciation has not been altered when entering Creole""

""This argument reinforces the arguments we have used before, when we have mentioned the examples of words that come from English and have preserved their long vowels when entering Creole.""

""Please refer to the"
60,"Pou sa rezon-la, nou finn prefer pa mintenir « œ » dan version final diksioner, e nou finn swazir pou respek te grafi angle ek ekrir burger ek brushing respektivman","for more details) when we mention examples of words that have come from English and have still preserved their long vowel when they entered Creole (see explanation for deal, delete, case, etc.)"""
61,Opozision ant « y » ek « i » pou reprezant son [j] Ena boukou dimounn ki finn exprim difiki lte ki zot fnn gagn e pou kone ki bizin servi ant « i » ouswa « y » dan bann mo kot son [j] aparet,"The opposition between ""y"" and ""i"" to represent the sound [j] There are many people who have expressed difficulty in knowing when to use ""i"" or ""y"" in words where the sound [j] appears"
61,"Ki pou ekrir : stasyon ouswa stasion ?, diksyoner ouswa diksioner ? , byin ouswa bien ?, etc","""How to spell: station or stasion?, dictionary or diksioner?, good or bien?, etc"""
61,Grafi- larmoni ti propoz enn itilizasion konplemanter ant sa de let-la,Graf-larmoni proposed a complementary use of these two letters
61,"“ I ” pou servi dan plas “ y” sak fwa ki li plase ant enn k onsonn ek enn vwayel kouma dan « tansion », « kamion », « morisien », « dibien », etc","""“I” is to be used in place of “y” whenever it is positioned between a consonant and a vowel, as in 'tansion', 'kamion', 'morisien', 'dibien', etc."""
61,"“ Y”, par kont, pou servi dan koumansman ek dan lafin enn silab : yer, may, abey , etc","""On the other hand, “Y” is to be used at the beginning and end of a syllable: yer, may, abey, etc."""
61,"Komite teknik LKreol Morisyen finn konserv sa prinsip-la, etan done ki li permet sa de let-la vinn konplemanter e ki zot alternans permet evit enn ta konfizion kan ekrir","""The Technical Committee for Mauritian Creole has maintained this principle, as it allows these two letters to be complementary and their alternation prevents confusion in writing"""
61,"Opozision ant « w », « ou » ek « oi » pou reprezant son [w] Opozision ant opsion « w », « ou » ek « oi » dan bann mo kouma mwa/moi, leroi/lerwa , kwin/koin/kouin/ , etc","""The opposition between ""w"", ""ou"" and ""oi"" to represent the sound [w]. The opposition between the options ""w"", ""ou"" and ""oi"" in words like mwa/moi, leroi/lerwa, kwin/koin/kouin, etc. has often been seen as one of the major difficulties people encounter when writing Creole"""
61,finn souvan prezan te kouma enn parmi bann gran difikilte ki dimounn zwenn kan zot pe ekrir Kreol,"""After extensive discussions on this issue and exchanges between practitioners of Creole writing, the Grapho-Harmony Committee decided on using “w” arguing that it has been more easily assimilated over time (when making references and for those writing) and is more stable and legible for anyone, once the principle has been learned"""
61,"Apre bann diskision intans lor sa size-la ek bann esanz ant bann pratisien lekritir an Kreol, Komite Grafi-larmoni ti opte pou « w » lor argiman ki li finn instal li pli fasilman dan letan (kan fer referans ek bann dimounn ki ekrir) e li pli stab ek pli lizib par ninport ki dimounn, enn fwa ki prinsip-la finn aprann","""Therefore, if “ou” or “oi” are systematically applied, there is a risk that in some words, we find ourselves faced with a sequence where there are three vowels or with an unknown way to write"""
69,"Pou lezot reflexion lor apostrof, get p li lwin dan parti ki konsern dekoupaz mo","""Regarding further reflection on apostrophe, it is likely in the part concerning the sections of my division.""

""When we mention proper names in the context of standardizing the writing of a language, we make reference to a certain number of things such as: people's names (first names and surnames of characters actor/actress or public figures), place names (countries, cities, villages, mountains, rivers, seas, oceans, etc), names of religious festivals, etc.""

""The rule here is simple.""

""Standardizing Mauritian Creole does not entail, for the moment, the creolization of proper names, which we have yet to define.""

""Except if the creolization has already been effective, as in the case of country names (Mauritius, France, England, America, Africa, China, India, Reunion, Madagascar, Seychelles, Rodrigues, etc), or in the case of religious figures which have been approved by appropriate religious authorities (Jesus, Mary, Joseph, etc), for religious texts created by others.""

""So, in summary, according to the general rule, local place names (cities, villages, mountains, rivers, seas, etc), religious festivals, and characters of legend or religion, are to be kept in their official spelling, even if the possibility exists to creolize them for continued existence on a literary and artistic level, or based on unofficial names.""

""Indication of quantity, measure, and time.Another technical issue related to standardizing Mauritian Creole orthography is the terms and symbols used to indicate quantity, measure, and time."""
70,"Term pou indik kantite, mezir ek letan Pou bann term ki indik kantite ek mezir, sak fwa ki zot kreolizasion grafik pa poz okenn problem anterm le ktir, zot kreoliz asion rekomande","""Instructions for indicating quantity, measurement, and time:

For terms indicating quantity and measurement, whenever Creole graphics do not pose any problems in construction, Creolization is recommended.

For example:
- Quantity indication: one, two, three, four, five, half (-edmi), a quarter, three quarters, a fifth, a tenth, a quarter, a fifth, etc.
- Location or order indication: first, second/second, third; Refer to the table in the Appendix for writing numbers in Mauritian Creole.
- Weight indication: gram, ounce, kilo, kilogram, ton;
- Measurement indication: meter, kilometer, centimeter, millimeter, inch, foot, yard, meter square, square foot;
- Time indication: second, minute, hour (one hour, two hours, three hours, etc.), hour-and-a-half/hour, hour-and-a-half (an hour-and-a-half, two-and-a-half hours, three-and-a-half hours).

A particular case: area (pronounced [e:rja]) In some cases, such as area, because they have a very technical dimension and their Creolization is not yet necessarily regulated (erya? sipe rfisi?), we suggest writing them as they are at the moment, and considering them as technical terms taken from English, just as we have done for words like deal, delete, and save that are part of computer jargon (see the section. 

Another specific case: terms constructed from proper nouns In cases where an initial and a measure are constructed from a proper noun, such as Celsius and Pascal, we recommend writing them as they are in their original form.

Therefore, in Celsius and Pascal, the letter C should be used even if it is not supposed to exist in Creole.

Symbols for indicating quantity and measurement For symbols, we keep them as they are in their original and universal form.""

We propose a summary table for this appendix."""
71,"Tablo rekapitilatif lor indikasion kantite ek mezir Kantite Nom Sinbol Longer Met, santimet, milimet, kilomet M, cm, mm, Kreol Morisyen Pwa/Mas Kilogram, tonn kg, T Letan Segonn, minit, er s, min, h Kantite Lit L","""Summary table on indications of quantity and measurement Quantity Name Symbol Length Meter, centimeter, millimeter, kilometer M, cm, mm, km Mauritian Creole Weight/Mass Kilogram, ton kg, t Time Second, minute, hour s, min, h Quantity Volume L"""
71,Kouran Anper A Tanperatir termodinamik Kelvin K Area Met kare m Volim Met kib m Vites/velosite Met par segonn m/s Akselerasion Met par segonn kare m/s Dansite kouran Anper par met kare A/m Tanperatir Degre Celsius °C Presion Pascal P Potansiel elektrik Volt V Rezistans elektrik Ohm,"Current Ampere A Thermodynamic temperature Kelvin K Area Square meter m Volume Cubic meter m Velocity Meters per second m/s Acceleration Meters per second squared m/s Density Current ampere per square meter A/m Temperature Degrees Celsius °C Pressure Pascal P Electric potential Volt V Electric resistance Ohm
"
71,Indikasion ler ou letan,Indication of time or duration
71,Prezantasion problem Indikasion ler an Kreol Morisien poz enn problem partikilie ka n ekrir,Presentation of problem Indication of time in Mauritian Creole poses a particular problem as one must write
71,"Parski nou finn konstrir nou sistem indikasion ler lor faso n dir li an Franse, nou finn erit ousi bann konstriksion ki lie ek fenomenn liezon ki spesifik ek Franse, me ki pa existe an Kreol","""Because we have constructed our time indication system based on the French language, we have also written constructions that are related to specific phenomena and links with French, but do not exist in Creole"""
71,"Rezilta: si lor plan oral nou pena okenn proble m pou exprim nou kan nou pe indik ler an Kreol, ka n nou vinn lor plan lekritir, li neseser bien reflesi lor ki manier nou pou deklinn tou bann posibilite ki sistem indikasion ler permet nou fer an Kreol","""Result: if on oral level we have no problem expressing ourselves when indicating time in Creole, when we move to the written level, it is necessary to think carefully about how we can cover all the possibilities that the time indication system allows us to do in Creole"""
71,"Premie problem ki bizi n regle se problem tred inion: nou pou ekrir sinker, sink er , ouswa sink-er ?","""The first problem that must be resolved is a very initial problem: how are we going to write five, five a, or sink-er?"""
71,"Deziem problem se tretman bann konsonn li ezon ki nou finn erite depi Franse, ki nou prononse kan nou koze, me ki soulev enn difikilt e plasman kan pe ekrir: trwazer, trwa zer, trwaz-er, trwa-z-er ouswa trwa-zer ?","""The second problem is the treatment of the sequences of vowels that we have inherited from French, how we pronounce them when speaking, but raise difficulties in their placement when writing: trewaizer, trwazer, trwaz-er, trwaz-er or trwa-zer?"""
71,"Reflexion ek rekomandasion Apre deba ek diskision, ala nou rekomandasion : • Parski bann indika sion kantite existe par zotmem an Kreol (enn, de, trwa, kat, sink, etc","""Reflection and recommendation After the debates and discussions, here is our recommendation: • Because the quantity indications exist by themselves in Creole (one, two, three, four, five, etc.), it is essential that they be treated autonomously when writing"""
